中文,原形,词干,副动词-p,否定词干,命令式,否定命令式,将来时-мен,将来时-сен,将来时-сиз,将来时-ал,将来时-биз,将来时-силер,将来时-сиздер,将来时-алар,正在时-мен,正在时-сен,正在时-сиз,正在时-ал,正在时-биз,正在时-силер,正在时-сиздер,正在时-алар,过去时-мен,过去时-сен,过去时-сиз,过去时-ал,过去时-биз,过去时-силер,过去时-сиздер,过去时-алар,过去否定-мен,过去否定-сен,过去否定-сиз,过去否定-ал,过去否定-биз,过去否定-силер,过去否定-сиздер,过去否定-алар,将来否定-мен,将来否定-сен,将来否定-сиз,将来否定-ал,将来否定-биз,将来否定-силер,将来否定-сиздер,将来否定-алар
去,баруу,бар,барып,барба,бар,барба,барамын,барасың,барасыз,барат,барабыз,барасыңар,барасыздар,барышат,барып жатамын,барып жатасың,барып жатасыз,барып жатат,барып жатабыз,барып жатасыңар,барып жатасыздар,барып жатышат,бардым,бардың,бардыңыз,барды,бардык,бардыңар,бардыңыздар,барышты,барбадым,барбадың,барбадыңыз,барбады,барбадык,барбадыңар,барбадыңыздар,барбашты,барбаймын,барбайсың,барбайсыз,барбайт,барбайбыз,барбайсыңар,барбайсыздар,барышпайт
来,келүү,кел,келип,келбе,кел,келбе,келемин,келесиң,келесиз,келет,келебиз,келесиңер,келесиздер,келишет,келип жатамын,келип жатасың,келип жатасыз,келип жатат,келип жатабыз,келип жатасыңар,келип жатасыздар,келип жатышат,келдим,келдиң,келдиңиз,келди,келдик,келдиңер,келдиңиздер,келишти,келбедим,келбедиң,келбедиңиз,келбеди,келбедик,келбедиңер,келбедиңиздер,келбешти,келбеймин,келбейсиң,келбейсиз,келбейт,келбейбиз,келбейсиңер,келбейсиздер,келишпейт
读；学习,окуу,оку,окуп,окубо,оку,окубо,окуймун,окуйсуң,окуйсуз,окуйт,окуйбуз,окуйсыңар,окуйсыздар,окушат,окуп жатамын,окуп жатасың,окуп жатасыз,окуп жатат,окуп жатабыз,окуп жатасыңар,окуп жатасыздар,окуп жатышат,окудум,окудуң,окудуңуз,окуду,окудук,окудуңар,окудуңуздар,окушту,окубодум,окубодуң,окубодуңуз,окубоду,окубодук,окубодуңар,окубодуңуздар,окубошту,окубаймын,окубайсың,окубайсыз,окубайт,окубайбыз,окубайсыңар,окубайсыздар,окушпайт
写,жазуу,жаз,жазып,жазба,жаз,жазба,жазамын,жазасың,жазасыз,жазат,жазабыз,жазасыңар,жазасыздар,жазышат,жазып жатамын,жазып жатасың,жазып жатасыз,жазып жатат,жазып жатабыз,жазып жатасыңар,жазып жатасыздар,жазып жатышат,жаздым,жаздың,жаздыңыз,жазды,жаздык,жаздыңар,жаздыңыздар,жазышты,жазбадым,жазбадың,жазбадыңыз,жазбады,жазбадык,жазбадыңар,жазбадыңыздар,жазбашты,жазбаймын,жазбайсың,жазбайсыз,жазбайт,жазбайбыз,жазбайсыңар,жазбайсыздар,жазышпайт
说话,сүйлөө,сүйлө,сүйлөп,сүйлөбө,сүйлө,сүйлөбө,сүйлөймүн,сүйлөйсүң,сүйлөйсүз,сүйлөйт,сүйлөйбүз,сүйлөйсүңөр,сүйлөйсүздөр,сүйлөшөт,сүйлөп жатамын,сүйлөп жатасың,сүйлөп жатасыз,сүйлөп жатат,сүйлөп жатабыз,сүйлөп жатасыңар,сүйлөп жатасыздар,сүйлөп жатышат,сүйлөдүм,сүйлөдүң,сүйлөдүңүз,сүйлөдү,сүйлөдүк,сүйлөдүңөр,сүйлөдүңүздөр,сүйлөштү,сүйлөбөдүм,сүйлөбөдүң,сүйлөбөдүңүз,сүйлөбөдү,сүйлөбөдүк,сүйлөбөдүңөр,сүйлөбөдүңүздөр,сүйлөбөштү,сүйлөбөймүн,сүйлөбөйсүң,сүйлөбөйсүз,сүйлөбөйт,сүйлөбөйбүз,сүйлөбөйсүңөр,сүйлөбөйсүздөр,сүйлөшпөйт
说；告诉,айтуу,айт,айтып,айтпа,айт,айтпа,айтамын,айтасың,айтасыз,айтат,айтабыз,айтасыңар,айтасыздар,айтышат,айтып жатамын,айтып жатасың,айтып жатасыз,айтып жатат,айтып жатабыз,айтып жатасыңар,айтып жатасыздар,айтып жатышат,айттым,айттың,айттыңыз,айтты,айттык,айттыңар,айттыңыздар,айтышты,айтпадым,айтпадың,айтпадыңыз,айтпады,айтпадык,айтпадыңар,айтпадыңыздар,айтпашты,айтпаймын,айтпайсың,айтпайсыз,айтпайт,айтпайбыз,айтпайсыңар,айтпайсыздар,айтышпайт
听见；听,угуу,ук,угуп,укпо,ук,укпо,угамын,угасың,угасыз,угат,угабыз,угасыңар,угасыздар,угушат,угуп жатамын,угуп жатасың,угуп жатасыз,угуп жатат,угуп жатабыз,угуп жатасыңар,угуп жатасыздар,угуп жатышат,уктум,уктуң,уктуңуз,укту,уктук,уктуңар,уктуңуздар,угушту,укподум,укподуң,укподуңуз,укподу,укподук,укподуңар,укподуңуздар,укпошту,укпаймын,укпайсың,укпайсыз,укпайт,укпайбыз,укпайсыңар,укпайсыздар,угушпайт
看见；看,көрүү,көр,көрүп,көрбө,көр,көрбө,көрөмүн,көрөсүң,көрөсүз,көрөт,көрөбүз,көрөсүңөр,көрөсүздөр,көрүшөт,көрүп жатамын,көрүп жатасың,көрүп жатасыз,көрүп жатат,көрүп жатабыз,көрүп жатасыңар,көрүп жатасыздар,көрүп жатышат,көрдүм,көрдүң,көрдүңүз,көрдү,көрдүк,көрдүңөр,көрдүңүздөр,көрүштү,көрбөдүм,көрбөдүң,көрбөдүңүз,көрбөдү,көрбөдүк,көрбөдүңөр,көрбөдүңүздөр,көрбөштү,көрбөймүн,көрбөйсүң,көрбөйсүз,көрбөйт,көрбөйбүз,көрбөйсүңөр,көрбөйсүздөр,көрүшпөйт
知道,билүү,бил,билип,билбе,бил,билбе,билемин,билесиң,билесиз,билет,билебиз,билесиңер,билесиздер,билишет,билип жатамын,билип жатасың,билип жатасыз,билип жатат,билип жатабыз,билип жатасыңар,билип жатасыздар,билип жатышат,билдим,билдиң,билдиңиз,билди,билдик,билдиңер,билдиңиздер,билишти,билбедим,билбедиң,билбедиңиз,билбеди,билбедик,билбедиңер,билбедиңиздер,билбешти,билбеймин,билбейсиң,билбейсиз,билбейт,билбейбиз,билбейсиңер,билбейсиздер,билишпейт
拿；得到；买,алуу,ал,алып,алба,ал,алба,аламын,аласың,аласыз,алат,алабыз,аласыңар,аласыздар,алышат,алып жатамын,алып жатасың,алып жатасыз,алып жатат,алып жатабыз,алып жатасыңар,алып жатасыздар,алып жатышат,алдым,алдың,алдыңыз,алды,алдык,алдыңар,алдыңыздар,алышты,албадым,албадың,албадыңыз,албады,албадык,албадыңар,албадыңыздар,албашты,албаймын,албайсың,албайсыз,албайт,албайбыз,албайсыңар,албайсыздар,алышпайт
